,canon_smiles,good
629,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O,0
147,C[C@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0
360,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,0
83,NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,0
48,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,0
468,CC(=O)[C@@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@]12C,0
155,CC(C)(C)NC(=O)[C@@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@@H]3CC[C@]12C,0
1691,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(NC4CN(CCF)C4)cc3OC)ncc2C(F)(F)F)c1,0
1768,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,0
1157,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,0
1351,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,0
1159,O=C(Nc1ccccc1)N1CCN(c2nc(-c3ccccc3)ns2)CC1,0
1575,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,0
500,O=C([O-])C[C@H](O)C[C@H](O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2],0
179,COc1cc([C@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,0
1829,CN(C)C(=O)c1ccc(S(=O)(=O)c2ccc(NC(=O)C(C)(O)C(F)(F)F)c(Cl)c2)cc1,0
1286,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,0
1717,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,0
1000,COC(=O)/C=C/C(=O)OC,0
1565,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,0
528,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,0
346,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@@H]2SC1,0
1336,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,0
1889,CN1CC[C@@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H]1CO.Cl,0
1234,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,0
1901,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,1
931,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,0
601,CC(N)C12CC3CC(CC(C3)C1)C2,0
999,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,0
243,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0
824,C=C1C(=O)[C@]23C(CC[C@@H]1[C@H]2O)[C@]12CO[C@]3(O)[C@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,0
1030,COc1cc(OC)c(NC(=O)Nc2cc(C)on2)cc1Cl,0
1424,CC(=O)NCC(=O)O.CC(=O)NCC(=O)O.N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1,0
312,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1,0
435,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,0
1830,CN[C@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@@H]1OC,0
862,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
308,CO[C@H]1CCC(O[C@H]2C[C@H]([C@]3(C)CC[C@]4(C[C@H](O)[C@H](C)[C@@H]([C@@H](C)/C=C(\C)C(=O)[C@H](C)C[C@H](C)C(=O)[O-])O4)O3)O[C@]3(O[C@@H]([C@H]4O[C@@](O)(CO)[C@H](C)C[C@H]4C)C[C@@H]3C)[C@@H]2C)O[C@@H]1C.[Na+],0
430,C[C@H](CCC(=O)O)[C@@H]1CC[C@H]2[C@H]3[C@@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@@H]3O,0
660,COc1nc(C)nc(Cl)c1NC1=NCCN1,0
370,NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21,0
